,pow_of_2,decay,new_num_iter
0,0,3,2
1,1,3,5
2,2,3,16
3,3,3,14
4,4,3,20
5,5,3,13
6,6,5,14
7,7,3,28
8,8,5,29
9,9,3,123
10,10,5,124
11,11,3,37
12,12,3,157
13,13,3,114
14,14,5,115
15,15,3,54
16,16,5,55
17,17,13,56
18,18,21,57
19,19,31,164
20,20,3,103
21,21,3,73
22,22,5,74
23,23,13,75
24,24,21,76
25,25,27,245
26,26,27,277
27,27,3,172
28,28,3,248
29,29,3,174
30,30,5,175
31,31,3,189
32,32,5,190
33,33,3,253
34,34,5,254
35,35,3,180
36,36,3,318
37,37,3,244
38,38,5,245
39,39,3,197
40,40,5,198
41,41,13,199
42,42,21,200
43,43,3,157
44,44,3,401
45,45,3,327
46,46,5,328
47,47,3,497
48,48,5,498
49,49,3,163
50,50,5,164
51,51,3,333
52,52,3,409
53,53,3,472
54,54,5,473
55,55,3,412
56,56,5,413
57,57,13,414
58,58,21,415
59,59,3,341
60,60,3,554
61,61,5,555
62,62,13,556
63,63,21,557
64,64,27,558
65,65,3,484
66,66,5,485
67,67,13,486
68,68,21,487
69,69,53,488
70,70,73,613
71,71,27,614
72,72,31,615
73,73,27,616
74,74,27,617
75,75,27,618
76,76,27,619
77,77,31,620
78,78,47,621
79,79,27,622
80,80,27,623
81,81,27,624
82,82,27,625
83,83,3,577
84,84,3,627
85,85,3,579
86,86,5,580
87,87,13,581
88,88,21,582
89,89,3,632
90,90,5,633
91,91,3,585
92,92,5,586
93,93,13,587
94,94,21,588
95,95,3,638
96,96,5,639
97,97,3,896
98,98,5,897
99,99,3,642
100,100,3,899
101,101,5,900
102,102,13,901
103,103,3,646
104,104,5,647
105,105,3,904
106,106,5,905
107,107,3,650
108,108,3,770
109,109,3,908
110,110,5,909
111,111,13,910
112,112,21,911
113,113,27,904
114,114,27,905
115,115,27,906
116,116,3,659
117,117,5,660
118,118,13,661
119,119,21,662
120,120,27,911
121,121,27,982
122,122,27,983
123,123,3,922
124,124,3,915
125,125,3,924
126,126,5,925
127,127,13,926
128,128,21,927
129,129,27,990
130,130,27,991
131,131,3,922
132,132,3,931
133,133,3,924
134,134,5,925
135,135,13,926
136,136,21,927
137,137,27,1135
138,138,27,1136
139,139,3,1000
140,140,3,939
141,141,5,940
142,142,13,941
143,143,21,942
144,144,47,1142
145,145,71,1143
146,146,91,1144
147,147,3,1008
148,148,3,1146
149,149,3,1010
150,150,5,1011
151,151,3,1149
152,152,5,1150
153,153,3,1014
154,154,5,1015
155,155,3,1153
156,156,5,1154
157,157,13,1155
158,158,21,1156
159,159,27,1157
160,160,27,1525
161,161,27,1433
162,162,27,1434
163,163,3,1024
164,164,5,1025
165,165,13,1026
166,166,21,1027
167,167,53,1028
168,168,85,1029
169,169,91,1441
170,170,103,1442
171,171,3,1536
172,172,3,1170
173,173,3,1538
174,174,5,1539
175,175,13,1540
176,176,21,1541
177,177,3,1449
178,178,5,1450
179,179,13,1451
180,180,21,1452
181,181,27,1515
182,182,27,1516
183,183,31,1517
184,184,47,1518
185,185,71,1519
186,186,91,1520
187,187,27,1521
188,188,27,1522
189,189,31,1523
190,190,47,1524
191,191,27,1525
192,192,31,1526
193,193,3,1558
194,194,5,1559
195,195,3,1529
196,196,5,1530
197,197,13,1531
198,198,21,1532
199,199,3,1564
200,200,5,1565
201,201,3,1535
202,202,5,1536
203,203,3,1568
204,204,3,1538
205,205,3,1570
206,206,5,1571
207,207,13,1572
208,208,21,1573
209,209,27,1742
210,210,27,1743
211,211,31,1744
212,212,47,1745
213,213,27,1746
214,214,27,1747
215,215,27,1580
216,216,27,1749
217,217,27,1750
218,218,27,1751
219,219,3,1553
220,220,5,1554
221,221,3,1586
222,222,5,1587
223,223,3,1756
224,224,5,1757
225,225,3,1559
226,226,5,1560
227,227,3,1760
228,228,3,1593
229,229,5,1594
230,230,13,1595
231,231,21,1596
232,232,27,1566
233,233,3,1766
234,234,5,1767
235,235,3,1600
236,236,5,1601
237,237,3,1571
238,238,5,1572
239,239,3,1604
240,240,5,1605
241,241,13,1606
242,242,21,1607
243,243,3,1577
244,244,3,1777
245,245,5,1778
246,246,13,1779
247,247,3,1581
248,248,5,1582
249,249,13,1583
250,250,21,1584
251,251,27,1722
252,252,27,1723
253,253,27,1724
254,254,27,1725
255,255,3,1788
256,256,5,1789
257,257,13,1790
258,258,21,1791
259,259,3,1730
260,260,3,2124
261,261,3,1794
262,262,5,1795
263,263,3,2127
264,264,5,2128
265,265,13,2129
266,266,21,2130
267,267,27,2131
268,268,27,2132
269,269,27,2133
270,270,27,2134
271,271,27,2091
272,272,27,2092
273,273,3,1744
274,274,5,1745
275,275,13,1746
276,276,3,2140
277,277,3,1748
278,278,5,1749
279,279,3,2099
280,280,5,2100
281,281,13,2101
282,282,21,2102
283,283,3,2147
284,284,5,2148
285,285,13,2149
286,286,21,2150
287,287,3,2107
288,288,5,2108
289,289,3,2153
290,290,5,2154
291,291,3,2111
292,292,5,2112
293,293,13,2113
294,294,21,2114
295,295,53,2115
296,296,85,2116
297,297,213,2117
298,298,341,2118
299,299,853,2119
300,300,1365,2120
